Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,AUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.013743463,0.064437675,0.134577071,0.295500278,1.218839333,1.286081023,1.318311599,1.483902461,1.329029416,2.819164766,2.696407449,1.970704219,1.112562562,1.601135053,1.715248302,2.103322677,0.878329371,1.321510274,0.793906533,0.816881277,1.253724909,0.642433059,0.696086252,0.666532024,0.618007601,0.620470025,0.730279831,0.611584495,0.312685552,0.523036465,1.297913645,0.928857192,0.879958293,0.708159048,0.667582844,0.934197021,0.989480463,0.929552381,1.06806191,0.637010901,0.775216715,0.833347947,0.71593009,0.534822879,0.534261539,0.20609123,0.171619815,0.210123173,0.314528236,0.36874401
Austria,AUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.012188314,0.015244544,0.019484751,0.035733431,0.227397452,0.174581957,0.171071784,0.143447362,0.11305077,0.217581175,0.229298861,0.181564257,0.103666931,0.145610853,0.149688128,0.143645953,0.04117429,0.052068487,0.039601116,0.063931465,0.067495756,0.035566892,0.030003446,0.028081801,0.02337621,0.024013925,0.032144849,0.024974989,0.006678773,0.021094371,0.056171176,0.040528677,0.039559736,0.036860044,0.044050155,0.05672126,0.063944003,0.060162169,0.07351677,0.042362819,0.063797373,0.093193062,0.09095278,0.074783974,0.069577213,0.032624759,0.023109082,0.031692979,0.043672455,0.038360828
Azerbaijan,AZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,14.41574809,6.562572382,10.88368321,12.41299148,12.57954086,14.48863295,19.64385192,12.44974334,3.677309643,15.33261938,31.11703336,22.52792156,22.42662568,22.98314135,26.28947735,36.02410364,39.68136218,36.41182989,37.08919051,24.61049665,29.37474789,31.82132233,27.82154764,23.71279867,20.48314902,12.06793911,13.19513821,17.85613455,25.30762431,21.86278266
Burundi,BDI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0,0,0,0,0,0,0,0,0,1.197809101,0.464408028,1.161234429,3.177487266,3.597112391,0.961297731,1.670365225,0.891877184,1.324939802,1.349128031,0.698483935,1.329752854,0.926694563,1.074522068,0.476212896,0.390142753,0.220770591,0.058344381,0.085002295,0.129550143,0.084787031,0.086011548,0.03496458,0,0,0,0,0,0,0,0,0,0,0,0.057371009,0.053627574,0.096776286,0.130536389,0.116143495
Burkina Faso,BFA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.000771791,0.001009079,0.001028344,0.00110682,0.002246226,0.002603876,0.00557301,0.005818806,0.003164104,0.004385967,0.002985733,0.001981151,0.001510309,0.009766714,0.015681118,0.015740106,0.00826813,0.010575431,0.00786078,0.010706434,0.021131861,0.011920818,0.014618349,0.014579908,0.018371563,0.014369923,0.018797695,0.018767379,0.009031671,0.015962043,0.031281081,0.051411459,0.083039226,0.073898051,0.088633633,0.086668218,0.105327271,0.150246637,0.209689066,0.08590237,0.109200661,0.146344074,0.163667983,0.134063363,0.094205747,0.029243276,0.013959308,0.017392018,0.026180524,0.015414129
Bulgaria,BGR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.101818265,0.077772524,0.044174314,0.075915201,0.100559279,0.158041163,0.055055046,0.06573706,0.044697272,0.084087565,0.099166337,0.026173517,0.026916026,0.02281995,0.025693003,0.013300919,0.020189665,0.014851685,0.003791654,0.014971902,0.037509445,0.01819252,0.020498684,0.015310989,0.027982986,0.035644458,0.037279988,0.031447308,0.036158769,0.019978661,0.029624381,0.039634412,0.040767761,0.0357981,0.031477937,0.014923731,0.011206991,0.015719926,0.022683366,0.019667174
Bahrain,BHR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,18.64276753,13.92520477,10.04974128,9.593036775,8.805225507,9.40361632,5.833847898,7.011721686,5.465283424,7.147693315,8.618807383,4.33862149,4.277814668,4.117225883,3.502558117,3.611238171,3.691477652,3.655850582,2.227848587,3.083296985,3.903122215,3.132440162,2.969841968,3.069544692,3.360900603,3.873910921,3.995832149,3.656463921,4.165469268,2.727680106,3.33562895,4.310552924,4.767634494,5.055125613,4.574628488,2.447404534,1.813722117,1.963743591,2.425645707,2.150062311
"Bahamas, The",BHS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.186980827,0.557718944,0.596514346,0.605350845,0.604524876,0.695850375,0.8747556,0.719754805,0.170263664,0.768344627,1.690396349,1.282838248,1.136544042,1.099216041,1.150823046,1.235005714,1.214640954,1.079462594,1.127210443,0.673974665,0.895421856,1.252484951,1.126977043,0.875074994,0.743865518,0.421769563,0.385046135,0.513979546,0.560376168,0.725318666
Belize,BLZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424088,3.007680709,3.920708317,5.88913997,3.417589635,4.858489664,6.528303097,4.440270638,3.11510043,2.153244666,0.788575477,0.56191238,0.899699271,1.36012943,1.216556956
Bermuda,BMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.622809857,0.838224895,0.700417077,1.161294773,3.639686102,3.081494551,2.976721974,1.903950462,2.074913079,4.514106528,5.56883663,2.929017777,2.109529723,2.606906576,2.11949005,2.231383475,1.206648357,1.862105376,1.303613208,1.985213061,2.807314718,1.451006356,1.484193702,1.399825209,1.348747163,1.615490698,2.083506125,1.595739717,0.929678396,1.542275024,2.645903183,2.278607799,2.342402406,2.469904942,4.949381486,7.24778524,6.884564094,6.239540668,5.277180838,2.203438524,2.843503925,3.661508734,3.685785481,3.50607368,3.149983172,1.340657277,1.028853278,1.545370836,2.221514719,1.972567191
Brazil,BRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.085110487,0.109823006,0.101587221,0.124957968,0.505838726,0.414976403,0.344274094,0.248655701,0.234960442,0.551053607,0.723037051,0.631887566,0.453320583,1.071394118,1.415010245,1.517720924,0.566057405,0.81553681,0.528933988,0.655539282,0.888827836,0.385817187,0.623325021,0.563715636,0.421958964,0.347851403,0.477631044,0.417701964,0.25312816,0.753978124,1.43771967,1.250926695,1.649315774,1.82374728,2.012109497,2.499313495,2.507835545,2.079419971,2.422498715,1.320264226,1.50085265,1.991613263,2.009203062,1.854939449,1.867469661,1.076084346,0.820121601,1.235338074,2.053806271,2.038195857
Barbados,BRB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,1.462065039,1.179210005,1.284332849,0.842917847,0.808579271,1.633830372,1.236768263,0.807578049,0.421955475,0.519844374,0.924612953,0.851256507,0.342885344,0.348066807,0.226220182,0.256669922,0.388069968,0.219261253,0.28535619,0.24182186,0.195643533,0.22564461,0.216161393,0.157983243,0.128197178,0.257022855,0.371341868,0.22481189,0.185329027,0.212054228,0.264647832,0.357157672,0.420549773,0.355577638,0.473749236,0.252706198,0.356179037,0.531359629,0.521252076,0.48458429,0.433147947,0.168746667,0.121477368,0.195257685,0.294328608,0.258224679
Brunei Darussalam,BRN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,2.453196107,6.844218576,16.02720163,27.42670472,55.17119376,51.80020755,53.5733248,51.50442633,48.01366433,,50.6720666,32.98388437,21.04200318,28.7098846,28.49717531,28.62730542,21.64057761,23.04969874,17.70605232,22.05923574,28.87150341,16.67882014,16.6715802,16.59110338,15.20792843,13.93389129,15.58934713,13.9256205,8.90246738,14.91423071,24.02005421,18.64532661,15.47564748,16.71631331,21.22726296,27.96487015,29.29576018,21.60763361,22.7312115,15.2741269,17.75452637,23.89667805,20.88083582,17.00790909,14.85157849,7.708450648,6.852915942,8.811314338,11.65617792,11.61961404
Bhutan,BTN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.651772171,0.688216007,0.732302332,0.907919113,2.575101668,2.32164989,2.016122758,2.26754282,2.172929751,4.560365406,5.238121024,3.396769218,2.077291846,2.697150496,2.684503821,2.492465428,1.082293067,1.554469399,0.976835081,1.230838413,1.601367276,1.066117175,1.181356985,1.116083107,0.998850181,1.075073515,1.347560475,0.863363511,0.365183496,0.788534866,1.46479266,0.809433727,0.883722775,1.003161721,1.359840018,1.667201044,1.557080792,1.596254671,2.618797981,1.414540686,1.480755992,2.027015324,1.235929049,1.454364884,1.237204798,0.037848988,0.46691419,0.888591779,1.780506536,1.604777842
Central Europe and the Baltics,CEB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.101818265,0.077772524,0.044174314,0.075915201,0.100559279,0.158041163,0.055055046,1.022917998,0.715175174,1.067909915,0.444099773,0.197862328,0.193602193,0.176347329,0.150632157,0.141817457,0.184555428,0.149581321,0.032987485,0.116456474,0.266237012,0.18549305,0.17363474,0.163450793,0.181866796,0.205783273,0.201842772,0.170964467,0.20159944,0.127091456,0.174827004,0.238797849,0.230375161,0.202449057,0.170683519,0.08160171,0.063366607,0.084880167,0.120222348,0.106786893
Switzerland,CHE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel Islands,CHI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.081358781,0.096700272,0.101580455,0.117341147,0.626615119,1.272736597,1.015881797,0.648880011,0.61200986,1.134151638,1.061132854,0.928927426,0.833863321,1.231035717,1.205843036,1.220014807,0.435438492,0.571194786,0.290732936,0.34459458,0.393011232,0.165888027,0.130172857,0.110897843,0.076359062,0.055421048,0.060232848,0.038030677,0.022422988,0.041065322,0.064489426,0.050556523,0.049534065,0.053983891,0.051361325,0.049026003,0.031165542,0.024414512,0.039019605,0.024114681,0.03074612,0.044995532,0.054712069,0.054267732,0.051382234,0.020420417,0.010363455,0.011380767,0.015058464,0.015442066
China,CHN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.02142134,0.082888517,0.191868271,0.399584994,2.702019438,3.064494125,3.983745004,4.22611534,5.427519914,11.14275153,11.79766254,9.169329656,5.826217433,6.291613881,5.948726623,5.343267593,2.683181259,4.507515042,3.0557945,3.96547398,5.215755483,2.832139885,2.816622984,2.685009684,1.929902388,1.652343706,1.886274197,1.5123459,0.716771747,1.109126057,2.008068844,1.322038901,1.264214425,1.323050754,1.671976705,2.2626532,2.275851084,1.863117142,2.034697868,0.950748492,1.24346298,1.526614791,1.329819033,1.110018963,0.899303002,0.336653518,0.254905626,0.331717046,0.434241039,0.383458588
Cote d'Ivoire,CIV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.073704353,0.298553992,0.190935323,1.069545132,1.8829876,1.886797317,0.350608615,0.665259885,0.338185062,0.101996817,0.122465763,0.066117602,0.054141971,0.016450085,0.238057983,0.251199578,0.607071223,0.616721881,0.2271495,0.378704142,0.707246696,0.435666145,0.434172599,0.577813062,1.314686645,3.008109865,5.595021399,4.606100971,6.357019528,2.86994957,3.228322402,4.24366106,3.741214841,2.828445121,2.028836891,0.432285327,0.503856574,0.851773089,1.116157297,1.047500542
Cameroon,CMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0,0,0,0,0,0.074427066,0.872490415,4.57641213,6.453170995,4.097504264,2.389551164,4.910791641,8.256186859,10.6754255,2.675524504,5.273098177,3.770743174,7.593688518,9.544014538,4.268143957,4.945351107,2.968454857,2.96381963,3.963993282,4.732144345,4.409117308,1.633128515,2.790335318,5.545374049,3.278904744,2.706300695,2.148490765,3.174635448,6.047459953,7.177092689,6.682403715,8.047572417,3.576366268,4.556698243,5.718401397,5.72218111,4.636605203,4.271927695,2.121041347,1.680715857,2.500771344,3.120622428,2.801794809
"Congo, Dem. Rep.",COD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0,0,0,0.007513713,0.380947294,0.584045165,0.463847862,1.036091048,1.042015879,0.573711663,0.270468032,0.722261611,1.943107167,2.156537297,0.634630565,1.557177192,0.978452785,1.544375919,2.050401291,1.009041424,1.272175665,0.848609416,1.313132299,1.830806369,2.394125575,1.791633187,0.618500957,1.459140828,0.897970957,1.431576072,1.165571029,1.148393157,1.71703364,2.175919738,2.225064823,2.388624284,2.635730971,1.427403755,1.78642479,2.125647949,1.803953648,1.463079567,1.110008968,0.353079115,0.321184607,0.577883404,0.934202287,0.748707833
"Congo, Rep.",COG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0,0.001862492,0,0.906267009,22.32617388,12.70082661,15.36764072,13.83928721,16.71860796,35.37216005,26.94411108,14.35148981,6.561895672,15.77854812,25.3512459,25.05847835,10.0216215,19.88184941,17.78390317,32.16102132,36.78577429,19.8875031,22.93262238,35.03766368,30.50930639,29.25688607,36.32687115,37.27141671,19.38184903,35.3457734,54.25658929,39.34372647,35.20551376,28.89463201,40.51548891,48.92111282,55.45776661,46.00593703,53.10660529,34.35569819,43.79645697,52.30279476,41.82806157,32.28797905,28.37302417,13.11597993,13.38691378,27.85178085,42.77981507,43.44957681
Colombia,COL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.677149469,0.889590938,0.833580545,1.091097355,4.274845079,3.626728642,3.135533935,2.011490711,1.73665771,3.447679927,3.662001263,3.008200811,1.852678075,2.621254543,2.81605648,3.146312617,2.33134058,4.520094039,3.056935784,4.818433194,6.065850372,3.228320022,3.017993826,2.645542993,1.974746978,2.458407101,3.337858445,2.733819169,1.77772591,3.881906671,5.106510081,3.323068595,3.395600326,3.892157853,4.116053938,4.916238822,5.249429474,4.284767499,5.504779804,3.261847456,4.418067903,6.76150435,6.115073137,5.991554822,5.287946554,2.730634075,1.836707509,2.660643086,3.879382374,3.677539789
Comoros,COM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caribbean small states,CSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,1.697106101,3.027014241,12.04584619,11.04943136,11.38809565,9.102823577,10.08457684,20.85633064,14.69113365,12.66269497,5.401551498,6.203145606,6.719153007,6.754014384,3.159274876,4.383677087,3.098545369,4.408422553,5.60455064,3.23578953,3.255476331,2.862092038,2.449280989,2.441281832,2.936722535,2.093806888,1.011341621,1.731355683,2.950726683,1.955920734,2.104875035,2.52764474,2.84760432,4.397929026,4.611828915,3.761954573,4.349229516,2.427438729,2.981194119,3.198669503,2.974704213,2.696024727,2.385160469,0.930310944,0.768012376,1.232917109,1.640485926,1.380928562
Cuba,CUB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.006907309,0.017493659,0.022938496,0.038006941,0.204460592,0.199184147,0.204135863,0.171244352,0.147693928,0.340891773,0.234443901,0.310420799,0.234387474,0.347239603,0.388534922,0.444970959,0.197152226,0.302503504,0.172319472,0.259835894,0.318022414,0.212560939,0.288972018,0.343194846,0.295902617,0.325843465,0.612688995,0.518678885,0.271877492,0.534952273,0.996062793,0.852640165,0.810628263,1.045816982,1.382294529,1.672069878,1.578834107,1.433254371,1.947757714,0.876791966,1.329359298,1.901214612,1.708406334,1.498242817,1.286305372,0.447435372,0.295390627,0.441582236,0.688508777,
Curacao,CUW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyprus,CYP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.012659394,0.011092831,0.012072857,0.013516553,0.012237557,0.012386469,0.016113317,0.014805167,0.003846208,0.014430555,0.033160654,0.023345784,0.029573853,0.034433222,0.03770471,0.049114363,0.043913269,0.036467181,0.040476529,0.022450054,0.025379052,0.033017257,0.033110863,0.029237348,0.025911514,0.010379548,0.007237444,0.009251094,0.013399611,0.008737261
Germany,DEU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.00267531,0.003542663,0.004398345,0.00799073,0.053430763,0.04172113,0.042154221,0.038550204,0.029878885,0.058097967,0.066456461,0.058494656,0.031714381,0.045618226,0.05002163,0.051650459,0.014551682,0.018038511,0.013150766,0.020490024,0.021233331,0.008745837,0.007882787,0.007361302,0.00609534,0.005774188,0.008221462,0.00715933,0.001881103,0.006431686,0.019088684,0.014585678,0.015560207,0.016071938,0.018199235,0.026247507,0.029276571,0.027696654,0.032112077,0.017088892,0.022066991,0.032228168,0.032700695,0.028380959,0.022673671,0.010966974,0.00825279,0.011274266,0.015765569,0.013220674
Djibouti,DJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,DNK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0.000781769,0.002292299,0.011025866,0.012935438,0.017507003,0.04213095,0.02830737,0.060076847,0.056686959,0.125058816,0.159939415,0.297845191,0.351841224,0.433828618,0.155724798,0.261682934,0.190733416,0.368639093,0.446993447,0.242481416,0.261275277,0.289145772,0.268404799,0.254073889,0.393271619,0.370711592,0.095598977,0.427624414,1.286550782,0.904710523,0.943507733,0.908520181,1.137473603,1.531254231,1.566465259,1.360635617,1.598900806,0.856280567,1.156727108,1.484748769,1.37434543,1.032181081,0.846549891,0.393694127,0.27286466,0.386064205,0.487574099,0.396754908
Dominican Republic,DOM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,8.296056058,8.077180625,9.976063321,11.63710975,28.74784461,23.27547141,24.49854888,23.90842981,20.66387444,37.6882193,30.98146846,23.69186683,18.23435516,16.82625256,15.83292052,14.4638647,6.817743661,8.992831435,8.204692136,12.92930371,16.5087896,13.49891655,13.84306144,12.20415182,12.91858471,14.33358523,16.81902885,15.16319019,9.221253177,13.3524366,20.61764465,17.56732505,18.39381448,20.22610117,22.22780267,29.04099614,30.66448924,28.72127928,30.49558502,20.614996,23.40559844,27.27702151,26.16948914,23.85658099,20.49367409,12.8196651,10.04454345,12.15671964,15.62365219,14.39475889
